amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,theta_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,rho,theta,flux1,flux2,delta_m
210.196608469,44683.4240044,482.111542129,515.916170503,643312.857634,489.054422351,535.245235676,3.04184395214,2.41992575829,3.01103259819,2.29598505454,3.04184395214,2.41992575829,2.29598505454,0.46541785339,-24.6267788707,1027184.74195,14510485.9867,-2.87508349615
211.823443188,43525.2772125,482.091804762,515.795913722,635750.604607,489.050410122,535.243311543,3.14720242092,2.42275979558,3.03465505215,2.37192598443,3.14720242092,2.42275979558,2.37192598443,0.467955301561,-24.5439407707,1026561.84243,14685301.0281,-2.88874433998
215.115854748,44735.5461919,482.275343736,515.924627752,635474.295072,489.05690744,535.248090358,3.1431126942,2.42334771755,3.02984849954,2.35872754376,3.1431126942,2.42334771755,2.35872754376,0.463442434412,-24.1291888333,994800.842796,14567183.5252,-2.91409861801
214.171104127,44052.9872968,482.035730185,515.951477037,635551.439154,489.054023876,535.242498566,3.15321356804,2.41656521267,3.03558034659,2.38540201163,3.15321356804,2.41656521267,2.38540201163,0.465546192833,-24.9037579645,1025208.92476,14597370.1484,-2.88365560614
212.938876398,46078.7334682,482.231901055,515.919384448,635387.370788,489.056481691,535.252682029,3.16043608568,2.41094474046,3.03488007551,2.40740453059,3.16043608568,2.41094474046,2.40740453059,0.464132155161,-24.2530770518,951581.73017,14447953.2544,-2.9534005815
215.195581784,42572.2785246,482.15095092,516.195720801,639621.872562,489.049003869,535.259102061,3.11946893981,2.42936095215,3.03525436426,2.3584116567,3.11946893981,2.42936095215,2.3584116567,0.459612534641,-24.7861597986,966178.449028,14673472.148,-2.95368886473
214.967571309,42411.6526537,482.162843681,515.797517043,637820.498078,489.052681723,535.253185536,3.11081142636,2.41917534447,3.02640683363,2.35466104974,3.11081142636,2.41917534447,2.35466104974,0.467323892781,-24.3216157665,1023897.35165,14630172.4907,-2.8874825671
207.773719515,42103.947487,482.243903528,516.020194689,637020.420126,489.049674442,535.257456523,3.16569649218,2.41898999678,3.03990887098,2.4039432388,3.16569649218,2.41898999678,2.4039432388,0.462000308538,-24.3005007378,991500.956265,14540074.5426,-2.91568373906
206.14327824,42399.6939732,482.24512623,516.121053023,638804.121619,489.055592332,535.251995699,3.05179499184,2.4237373689,3.01488679916,2.28834831003,3.05179499184,2.4237373689,2.28834831003,0.459935567318,-24.4340075801,1023148.65659,14754939.3402,-2.8974967251
209.500230168,40930.8807272,482.101676636,515.979874296,637305.319205,489.05553863,535.251907644,3.18687321636,2.40851011197,3.03124882369,2.42303769966,3.18687321636,2.40851011197,2.42303769966,0.464412292887,-24.7248611986,992719.886309,14428581.6635,-2.90599230005
214.733888886,43249.9372871,482.014114476,515.964907527,634175.088314,489.053377881,535.251941242,3.13590692374,2.42831127063,3.0373933749,2.34667853421,3.13590692374,2.42831127063,2.34667853421,0.465714528625,-24.9732901377,1019134.84415,14600450.0689,-2.89033648269
220.26115553,40663.7647564,482.020089372,516.159877021,633317.517358,489.047723455,535.255082683,3.18279622806,2.41783364054,3.04087828424,2.42110572417,3.18279622806,2.41783364054,2.42110572417,0.461774733126,-25.1557931339,939882.411424,14531830.2012,-2.97311698048
210.094452949,43735.4232018,482.088652264,516.030626467,635746.212982,489.049730195,535.263674288,3.08763522961,2.41755334388,3.02119420548,2.31846283368,3.08763522961,2.41755334388,2.31846283368,0.463722288718,-24.7912455124,949501.599821,14508452.5148,-2.96031347958
208.05269963,44952.3928727,482.192748017,516.039589554,638377.545758,489.04488755,535.258536769,3.09991339762,2.41120570755,3.01471682665,2.3365536042,3.09991339762,2.41120570755,2.3365536042,0.4621711675,-24.4664572791,998195.886192,14581307.0767,-2.91145170108
