amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,flux1,flux2,delta_m,rho,theta
206.187638559,57595.7803045,460.778988317,465.390700482,614463.707627,510.182383909,512.019044558,3.09411881534,2.78219207002,1.93086132127,3.09411881534,2.78219207002,1.93086132127,1672340.29519,17841480.22,-2.5702655714,1.49776257247,-46.9009654667
208.424020168,58727.9510355,460.761110771,465.496316739,618104.117543,510.195896967,512.043741851,3.06772570697,2.70261435604,1.89519779424,3.06772570697,2.70261435604,1.89519779424,1707394.23038,17970142.6252,-2.55554428625,1.49706152454,-46.9684199049
215.745376762,56435.5058295,460.972913272,465.372775223,624632.75555,510.193451335,512.035118626,3.02088117396,2.65447840686,1.86907528868,3.02088117396,2.65447840686,1.86907528868,1634314.88444,18088769.2363,-2.61018320584,1.49531299124,-46.7747610654
209.106703231,59998.6489827,460.875552605,465.281064623,620091.702622,510.198122182,512.032054732,3.02878582178,2.66974803951,1.88251947012,3.02878582178,2.66974803951,1.88251947012,1725549.0935,17833748.4414,-2.53578829101,1.49829151437,-46.7796783434
220.999003033,57562.1568153,460.852513771,465.47910385,621511.852377,510.188262586,512.035521805,3.06180249123,2.73319815598,1.9301538505,3.06180249123,2.73319815598,1.9301538505,1626009.12395,17556422.4922,-2.58328261329,1.49559086746,-46.905900076
225.416807283,56250.3354145,460.763061808,465.329296146,622008.022,510.190374407,512.030919055,3.02009158396,2.70399306863,1.8893040652,3.02009158396,2.70399306863,1.8893040652,1621416.58041,17929424.9973,-2.60917938017,1.49924642426,-46.8700706227
208.139334636,59875.3306308,460.865720487,465.362016517,621165.442708,510.201692427,512.034880139,3.01279744035,2.6800136506,1.87084075683,3.01279744035,2.6800136506,1.87084075683,1742418.81856,18076439.3273,-2.53990083723,1.49733747607,-46.8349817006
219.178209608,59832.7784702,460.757161535,465.340559264,627114.842526,510.182406329,512.032969073,2.95257501299,2.63006437408,1.83652675736,2.95257501299,2.63006437408,1.83652675736,1742743.58267,18265968.5315,-2.55102303227,1.49907504682,-46.874492024
212.123299163,56686.2767039,460.906328902,465.543009042,619490.864794,510.202593499,512.043173647,3.09378789621,2.75899016537,1.91978674867,3.09378789621,2.75899016537,1.91978674867,1651587.62679,18049256.6636,-2.5963942503,1.49410983866,-46.917513526
201.987731887,60122.6595026,460.913679008,465.494268376,623566.966042,510.199574706,512.032102087,2.97257603483,2.65052944798,1.84664219179,2.97257603483,2.65052944798,1.84664219179,1755710.88941,18209546.4348,-2.5396153143,1.49450538487,-46.8885026237
214.815626494,61909.8349979,460.879443572,465.49782463,625868.191974,510.190885761,512.034584037,3.05592691107,2.67656695632,1.90598301372,3.05592691107,2.67656695632,1.90598301372,1754668.54978,17738592.5935,-2.51181016829,1.49490306912,-46.9038963321
209.153023977,59831.8386066,460.896344061,465.28745658,621091.944042,510.192149888,512.038001627,3.06816727969,2.72613138245,1.90643246914,3.06816727969,2.72613138245,1.90643246914,1733249.05623,17992239.7122,-2.54056064054,1.49785224166,-46.7645086016
221.228301322,61988.7517789,460.812441111,465.411382964,620512.731742,510.197415039,512.033198964,3.03646597208,2.68485808344,1.88314987177,3.03646597208,2.68485808344,1.88314987177,1796147.48267,17979629.8384,-2.50109688087,1.49736653861,-46.8943408174
206.311454919,59667.1302585,460.906201093,465.455514342,620256.73625,510.192870686,512.029641323,3.01682330052,2.69569999779,1.88013103409,3.01682330052,2.69569999779,1.88013103409,1730517.52955,17989259.0083,-2.5420931797,1.49506109191,-46.8667780786
220.32232495,61015.1425156,460.995073904,465.465961029,620204.664928,510.191796004,512.031836985,3.08110608754,2.72040496096,1.92050508951,3.08110608754,2.72040496096,1.92050508951,1744302.72161,17730457.3617,-2.51774520017,1.49348196483,-46.8198622283
216.454959253,60421.9530269,460.913566993,465.354594741,619911.485136,510.203959986,512.020556151,3.00809723715,2.69083111715,1.87064556439,3.00809723715,2.69083111715,1.87064556439,1763066.34815,18088581.9399,-2.52783966364,1.49649673073,-46.8128982727
225.536738787,61088.3757104,461.058043267,465.44722771,619875.175229,510.173247338,512.032104415,3.04284842742,2.7122491092,1.89145713606,3.04284842742,2.7122491092,1.89145713606,1775282.32349,18014154.3035,-2.51586612409,1.49244877701,-46.761083327
