star,date,HJD,teff,logg,feh,vsini,addmode,rv_meas,rv_meas_err,ccf,instrument,mcmc_logg,mcmc_rv,mcmc_rv_err,mcmc_teff,mcmc_vsini,filename,o2_rv,o2_rv_err,h2o_rv,h2o_rv_err,name,rv_lit,rv_lit_err,o_RV,eRV,wds_binary,sb9_binary,my_binary,separation,K1,known_binary
HIP 109521,2014-11-01,2456962.60667,8000,3.5,0.0,150,ml,-9.35281901724,0.258041460352,0.951844176094,TS23,3.7340679944,-10.0367512356,0.0282212239753,8080.6778049,153.224917856,/home/kgullikson/School/Research/McDonaldData/20141101/HIP_109521.fits,-0.858082916861,0.213157754255,-0.47044283431,0.197877703297,HIP 109521,-10.7,2.9,1.0,,1.0,0.0,1.0,10.0,,True
HIP 111169,2013-10-20,2456585.62135,10000,4.5,0.0,150,ml,-13.5163078826,0.248421023252,0.955273683387,TS23,3.73796522767,-11.4109036466,0.0418773657691,9239.84040095,148.909914986,/home/kgullikson/School/Research/McDonaldData/20131020/HIP_111169.fits,-0.583335816778,0.0432758316903,-0.299566729961,0.0399370751813,HIP 111169,-4.5,0.9,2.0,0.5,1.0,0.0,0.0,46.0999984741,,True
HIP 111841,2013-10-18,2456583.68262,19000,4.0,0.0,40,ml,-10.1781752438,0.296044441679,0.55594935545,TS23,4.0,-10.8262953646,0.0104411767506,30000.0,38.1619217116,/home/kgullikson/School/Research/McDonaldData/20131018/HIP_111841.fits,-0.673585285966,0.0387872470211,-0.443183099311,0.0392728608031,HIP 111841,-10.1,0.3,2.0,0.7,1.0,0.0,1.0,62.4000015259,,True
HIP 111841,2013-10-18,2456583.68262,19000,4.0,0.0,40,ml,-10.1781752438,0.296044441679,0.55594935545,TS23,4.0,-10.8262953646,0.0104411767506,30000.0,38.1619217116,/home/kgullikson/School/Research/McDonaldData/20131018/HIP_111841.fits,-0.673585285966,0.0387872470211,-0.443183099311,0.0392728608031,HIP 111841,-10.1,0.3,2.0,0.7,1.0,0.0,1.0,3.59999990463,,True
HIP 113788,2013-10-21,2456586.6352,9000,4.0,0.0,250,ml,3.09908546203,0.483581663611,0.931730582604,TS23,3.8423566172,7.77650666631,0.0528525228979,8997.47973731,217.733610954,/home/kgullikson/School/Research/McDonaldData/20131021/HIP_113788.fits,-0.727630719193,0.0558963097152,-0.411034855696,0.0548499689901,HIP 113788,2.1,2.4,2.0,2.7,1.0,0.0,0.0,0.20000000298,,True
HIP 113788,2013-10-21,2456586.6352,9000,4.0,0.0,250,ml,3.09908546203,0.483581663611,0.931730582604,TS23,3.8423566172,7.77650666631,0.0528525228979,8997.47973731,217.733610954,/home/kgullikson/School/Research/McDonaldData/20131021/HIP_113788.fits,-0.727630719193,0.0558963097152,-0.411034855696,0.0548499689901,HIP 113788,2.1,2.4,2.0,2.7,1.0,0.0,0.0,91.0,,True
HIP 113788,2013-10-21,2456586.6352,9000,4.0,0.0,250,ml,3.09908546203,0.483581663611,0.931730582604,TS23,3.8423566172,7.77650666631,0.0528525228979,8997.47973731,217.733610954,/home/kgullikson/School/Research/McDonaldData/20131021/HIP_113788.fits,-0.727630719193,0.0558963097152,-0.411034855696,0.0548499689901,HIP 113788,2.1,2.4,2.0,2.7,1.0,0.0,0.0,143.100006104,,True
HIP 114520,2013-10-22,2456587.64181,8000,3.5,0.0,250,ml,22.1206001023,0.582689408372,0.925665187108,TS23,3.4863973719,25.1925286843,0.0464028368211,8079.98303373,281.30845257,/home/kgullikson/School/Research/McDonaldData/20131022/HIP_114520.fits,-0.732830764181,0.0897164618413,-0.419126470669,0.0507051663947,HIP 114520,10.6,3.0,1.0,,0.0,0.0,0.0,,,False
HIP 116631,2013-10-18,2456583.71555,12000,4.0,0.0,80,ml,4.21376982734,0.169469003981,0.932615292841,TS23,3.63070759005,3.20570551796,0.0230100855314,12375.9737706,81.8922187352,/home/kgullikson/School/Research/McDonaldData/20131018/HIP_116631.fits,-0.575947395391,0.181499427686,-0.296837601616,0.16171018019,HIP 116631,-0.5,2.7,1.0,,0.0,0.0,0.0,,,False
HIP 116631,2014-11-01,2456962.6386,12000,3.5,0.0,80,ml,-1.91093568639,0.176893027907,0.921610697849,TS23,3.75799120006,-2.96499521761,0.0224451337364,12477.8673595,80.8844660531,/home/kgullikson/School/Research/McDonaldData/20141101/HIP_116631.fits,-0.837408464831,0.169718969233,-0.462920184466,0.113839746841,HIP 116631,-0.5,2.7,1.0,,0.0,0.0,0.0,,,False
HIP 116805,2013-08-24,2456528.84317,11000,4.5,0.0,150,ml,-15.1972925732,0.706252913863,0.811436135252,TS23,3.36942087845,-16.1112965898,0.110698846717,9685.18538473,268.462009084,/home/kgullikson/School/Research/McDonaldData/20130824/HIP_116805.fits,-0.519030395613,0.115566393633,-0.256398709731,0.10239614655,HIP 116805,-12.7,0.8,2.0,0.6,1.0,0.0,0.0,1.0,,True
HIP 116805,2013-08-24,2456528.84317,11000,4.5,0.0,150,ml,-15.1972925732,0.706252913863,0.811436135252,TS23,3.36942087845,-16.1112965898,0.110698846717,9685.18538473,268.462009084,/home/kgullikson/School/Research/McDonaldData/20130824/HIP_116805.fits,-0.519030395613,0.115566393633,-0.256398709731,0.10239614655,HIP 116805,-12.7,0.8,2.0,0.6,1.0,0.0,0.0,47.4000015259,,True
