teff,vsini,addmode,rms
20000,175,ml,1.16222308895
20000,175,simple,2.17503477675
20000,200,dc,1.33193135288
20000,200,ml,1.28390564152
20000,200,simple,2.2175751059
20000,225,dc,1.67244001678
20000,225,ml,1.39169426538
20000,225,simple,2.94207322034
20000,250,dc,1.91315951464
20000,250,ml,1.29619488329
20000,250,simple,3.55334331936
20000,275,dc,1.86903677505
20000,275,ml,1.49254932801
20000,275,simple,3.71002072963
20000,300,dc,1.90488148622
20000,300,ml,1.69960720524
20000,300,simple,3.72994619623
22000,50,dc,0.56689571639
22000,50,ml,0.30094267727
22000,50,simple,1.27719844098
22000,75,dc,0.627591594672
22000,75,ml,0.495213925385
22000,75,simple,1.35366572168
22000,100,dc,0.686926073357
22000,100,ml,0.643340377798
22000,100,simple,1.62551277995
22000,125,dc,0.885998299395
22000,125,ml,0.701208816177
22000,125,simple,1.80329937447
22000,150,dc,0.883543517528
22000,150,ml,0.981978668921
22000,150,simple,1.75955478212
22000,175,dc,1.10606411945
22000,175,ml,1.068207241
22000,175,simple,2.02444819901
22000,200,dc,1.3504488944
22000,200,ml,1.11956278071
22000,200,simple,2.40484439299
22000,225,dc,1.48717090457
22000,225,ml,1.21632362421
22000,225,simple,2.7140344402
22000,250,dc,1.38792095733
22000,250,ml,1.23014429262
22000,250,simple,2.52619917805
22000,275,dc,1.44016816722
22000,275,ml,1.35852850659
22000,275,simple,2.97214800826
22000,300,dc,1.87746231951
22000,300,ml,1.34150213632
22000,300,simple,3.47395160992
24000,50,dc,0.525647972719
24000,50,ml,0.312437764269
24000,50,simple,1.37177839568
24000,75,dc,0.63034144219
24000,75,ml,0.484011367995
24000,75,simple,1.42757473056
24000,100,dc,0.812518995634
24000,100,ml,0.505051954898
24000,100,simple,1.98907676675
24000,125,dc,0.720234751489
24000,125,ml,0.578500264687
24000,125,simple,1.53331653556
24000,150,dc,0.860168826992
24000,150,ml,0.803534190216
24000,150,simple,1.59867195372
24000,175,dc,1.00558223339
24000,175,ml,0.965648483741
24000,175,simple,2.27290179852
24000,200,dc,1.129214994
24000,200,ml,0.925880914937
24000,200,simple,2.15129073936
24000,225,dc,1.30786070599
24000,225,ml,0.89818216746
24000,225,simple,2.78407453926
24000,250,dc,1.35570988121
24000,250,ml,1.14953040542
24000,250,simple,2.82920159065
24000,275,dc,1.41905022465
24000,275,ml,1.3167225562
24000,275,simple,3.18738006325
24000,300,dc,1.61060662576
24000,300,ml,1.12683985822
24000,300,simple,3.46068951679
26000,50,dc,0.456054913296
26000,50,ml,0.319265496673
26000,50,simple,1.31911621878
26000,75,dc,0.531226468326
26000,75,ml,0.35735047553
26000,75,simple,1.58393219518
26000,100,dc,0.551392089124
26000,100,ml,0.513129446017
26000,100,simple,1.55669556169
26000,125,dc,0.775513192797
26000,125,ml,0.642214998848
26000,125,simple,1.97938783277
26000,150,dc,0.921490889769
26000,150,ml,0.66872940654
26000,150,simple,1.76724845926
26000,175,dc,1.12249346812
26000,175,ml,0.684210347589
26000,175,simple,2.29267793333
26000,200,dc,1.19922072004
26000,200,ml,0.891114285839
26000,200,simple,2.48020499427
