Wavelength        Transmission
2.30101485131961  0.05470936
2.30171987021454  0.04808493
2.30242488910948  0.04259723
2.30312990800442  0.03786589
2.30383492689935  0.0337892
2.30453994579429  0.03025334
2.30524496468923  0.02728936
2.30594998358416  0.02469317
2.3066550024791   0.0223947
2.30736002137404  0.02040785
2.30806504026897  0.01865973
2.30877005916391  0.01734402
2.30947507805884  0.01598226
2.31018009695378  0.01474143
2.31088511584872  0.01372755
2.31159013474365  0.01290348
2.31229515363859  0.01209957
2.31300017253353  0.01137737
2.31370519142846  0.01062735
2.3144102103234   0.01014681
2.31511522921834  0.009557362
2.31582024811327  0.009118958
2.31652526700821  0.008560113
2.31723028590315  0.008238792
2.31793530479808  0.007784035
2.31864032369302  0.00752539
2.31934534258795  0.007158651
2.32005036148289  0.006993409
