teff,vsini,addmode,rms
26000,75,ml,0.0914375489351
26000,75,simple,0.173267708734
26000,100,dc,0.273162388966
26000,100,ml,0.151760845377
26000,100,simple,0.292329897967
26000,125,dc,0.308702314845
26000,125,ml,0.178117424585
26000,125,simple,0.334643676972
26000,150,dc,0.443936901915
26000,150,ml,0.251373670928
26000,150,simple,0.484192855411
26000,175,dc,0.583428497446
26000,175,ml,0.280351177907
26000,175,simple,0.661890612883
26000,200,dc,0.490214967192
26000,200,ml,0.301844366806
26000,200,simple,0.569389431335
26000,225,dc,0.739282624025
26000,225,ml,0.438560616233
26000,225,simple,0.817911562913
26000,250,dc,0.93956085985
26000,250,ml,0.530981747489
26000,250,simple,1.03237037919
26000,275,dc,1.42152784866
26000,275,ml,0.803896841437
26000,275,simple,1.86841601664
26000,300,dc,2.09657596473
26000,300,ml,1.51162096469
26000,300,simple,2.42377432742
28000,50,dc,0.106787414913
28000,50,ml,0.0603148727171
28000,50,simple,0.122220333067
28000,75,dc,0.166328140798
28000,75,ml,0.105490654482
28000,75,simple,0.198295314734
28000,100,dc,0.255586528522
28000,100,ml,0.154507566133
28000,100,simple,0.296264693575
28000,125,dc,0.355060582308
28000,125,ml,0.243959775111
28000,125,simple,0.41930290703
28000,150,dc,0.502270449641
28000,150,ml,0.24619547833
28000,150,simple,0.598621203297
28000,175,dc,0.526905102884
28000,175,ml,0.326856458691
28000,175,simple,0.565668454068
28000,200,dc,0.759420994425
28000,200,ml,0.453802721762
28000,200,simple,0.884948860991
28000,225,dc,0.864608310354
28000,225,ml,0.490703770159
28000,225,simple,1.03658202114
28000,250,dc,0.939761743337
28000,250,ml,0.623428351787
28000,250,simple,1.12562617283
28000,275,dc,0.92635017289
28000,275,ml,0.71383191419
28000,275,simple,1.09713851158
28000,300,dc,1.14072850076
28000,300,ml,1.00110523746
28000,300,simple,1.34102403961
30000,50,dc,0.125550401933
30000,50,ml,0.0723463392286
30000,50,simple,0.154132230061
30000,75,dc,0.198043843093
30000,75,ml,0.122138727164
30000,75,simple,0.22589899689
30000,100,dc,0.383099660302
30000,100,ml,0.209440895129
30000,100,simple,0.431478216072
30000,125,dc,0.442060131357
30000,125,ml,0.292483787562
30000,125,simple,0.517066955208
30000,150,dc,0.564717607463
30000,150,ml,0.376013850055
30000,150,simple,0.690052897161
30000,175,dc,0.669052595489
30000,175,ml,0.432611304374
30000,175,simple,0.87579122289
30000,200,dc,0.79684712136
30000,200,ml,0.556050494531
30000,200,simple,0.964534861121
30000,225,dc,0.905961315696
30000,225,ml,0.512572890479
30000,225,simple,1.15107336471
30000,250,dc,1.04107059639
30000,250,ml,0.75397066672
30000,250,simple,1.36037952604
30000,275,dc,1.33852193154
30000,275,ml,0.883387424364
30000,275,simple,1.83167242508
30000,300,dc,1.24304084111
30000,300,ml,0.933427701286
30000,300,simple,1.67527850153
