teff,vsini,addmode,rms
10000,50,ml,0.0792938007449
10000,50,simple,0.100444266537
10000,75,dc,0.143258953378
10000,75,ml,0.117613808617
10000,75,simple,0.157972666759
10000,100,dc,0.234309170798
10000,100,ml,0.183630974387
10000,100,simple,0.252722216261
10000,125,dc,0.30364562206
10000,125,ml,0.297128060031
10000,125,simple,0.3371199926
10000,150,dc,0.407233911262
10000,150,ml,0.374595609103
10000,150,simple,0.45364736339
10000,175,dc,0.476058394614
10000,175,ml,0.432914252598
10000,175,simple,0.566591911105
10000,200,dc,0.632384420729
10000,200,ml,0.504250180933
10000,200,simple,0.761874854834
10000,225,dc,1.13921969303
10000,225,ml,0.526676343383
10000,225,simple,1.36856823294
10000,250,dc,1.02355477003
10000,250,ml,0.635075529643
10000,250,simple,1.17689691308
10000,275,dc,1.05836314592
10000,275,ml,0.901466295885
10000,275,simple,1.20615725024
10000,300,dc,0.92850557511
10000,300,ml,1.0331462711
10000,300,simple,0.907574542592
12000,50,dc,0.0975190892007
12000,50,ml,0.0777742595732
12000,50,simple,0.10021230689
12000,75,dc,0.142066177024
12000,75,ml,0.135492421435
12000,75,simple,0.147511716269
12000,100,dc,0.210832161051
12000,100,ml,0.192974474064
12000,100,simple,0.22373075188
12000,125,dc,0.417493088047
12000,125,ml,0.334894699186
12000,125,simple,0.439443711999
12000,150,dc,0.451810358258
12000,150,ml,0.385375102546
12000,150,simple,0.488028454217
12000,175,dc,0.470682473769
12000,175,ml,0.490113418902
12000,175,simple,0.490647015224
12000,200,dc,0.778768840558
12000,200,ml,0.703668381194
12000,200,simple,0.852272720708
12000,225,dc,0.911901330755
12000,225,ml,0.84742395347
12000,225,simple,1.00071312397
12000,250,dc,1.16870626124
12000,250,ml,1.03789202245
12000,250,simple,1.31723619562
12000,275,dc,1.38662952237
12000,275,ml,1.28726330838
12000,275,simple,1.52224474224
12000,300,dc,1.62224216392
12000,300,ml,1.57089761232
12000,300,simple,1.81242350468
14000,50,dc,0.109205292127
14000,50,ml,0.0885821474696
14000,50,simple,0.110877679084
14000,75,dc,0.179699652842
14000,75,ml,0.161292774956
14000,75,simple,0.184229851282
14000,100,dc,0.273103617494
14000,100,ml,0.224476012533
14000,100,simple,0.284690664548
14000,125,dc,0.435485751748
14000,125,ml,0.377936566488
14000,125,simple,0.450033838618
14000,150,dc,0.486333376281
14000,150,ml,0.420291999015
14000,150,simple,0.508971795171
14000,175,dc,0.546909384375
14000,175,ml,0.494714062857
14000,175,simple,0.579850011293
14000,200,dc,0.64746677508
14000,200,ml,0.630722058478
14000,200,simple,0.685919990684
14000,225,dc,1.01720327373
14000,225,ml,0.856527719498
14000,225,simple,1.09427673557
14000,250,dc,1.2578319047
14000,250,ml,1.18670156065
14000,250,simple,1.31945581897
14000,275,dc,1.77809533428
14000,275,ml,1.65227937119
14000,275,simple,1.90730810146
14000,300,dc,2.07482717135
14000,300,ml,2.01038989396
14000,300,simple,2.16609866023
16000,50,dc,0.130532365644
16000,50,ml,0.106767885342
16000,50,simple,0.132489349612
16000,75,dc,0.172445506111
16000,75,ml,0.151492619648
16000,75,simple,0.17483600724
16000,100,dc,0.292609534103
16000,100,ml,0.23890023499
16000,100,simple,0.300978577896
16000,125,dc,0.392604437178
16000,125,ml,0.294873949303
16000,125,simple,0.420913767408
16000,150,dc,0.561276912123
16000,150,ml,0.428161261047
16000,150,simple,0.5884404272
16000,175,dc,0.573256362809
16000,175,ml,0.532436501059
16000,175,simple,0.595185497481
16000,200,dc,0.724456291423
16000,200,ml,0.597023620106
16000,200,simple,0.765373549493
16000,225,dc,0.817653447118
16000,225,ml,0.699370261111
16000,225,simple,0.863705824618
16000,250,dc,1.48257409562
16000,250,ml,1.15214292919
