teff,vsini,addmode,rms
9000,300,dc,1.47835485284
9000,300,ml,1.69995216418
9000,300,simple,1.31669141589
10000,50,dc,0.0651358123867
10000,50,ml,0.0427232079843
10000,50,simple,0.0769883704813
10000,75,dc,0.0996571337505
10000,75,ml,0.0742718716785
10000,75,simple,0.121821202395
10000,100,dc,0.129288558678
10000,100,ml,0.0874000215176
10000,100,simple,0.17555752081
10000,125,dc,0.229297349969
10000,125,ml,0.166723599843
10000,125,simple,0.297219132896
10000,150,dc,0.267442723688
10000,150,ml,0.192135800494
10000,150,simple,0.328884767938
10000,175,dc,0.258408426769
10000,175,ml,0.265680497343
10000,175,simple,0.321881987552
10000,200,dc,0.375149934978
10000,200,ml,0.281868796365
10000,200,simple,0.502594270765
10000,225,dc,0.41671422852
10000,225,ml,0.321088630638
10000,225,simple,0.541140472215
10000,250,dc,0.597675381058
10000,250,ml,0.44775093887
10000,250,simple,0.798315518433
10000,275,dc,0.626940228691
10000,275,ml,0.580725550348
10000,275,simple,0.732172474425
10000,300,dc,0.659127172069
10000,300,ml,0.718861662353
10000,300,simple,0.709888946915
12000,50,dc,0.0607159530927
12000,50,ml,0.0502528240651
12000,50,simple,0.0688868343238
12000,75,dc,0.0938483681538
12000,75,ml,0.0669222749405
12000,75,simple,0.111480706531
12000,100,dc,0.171146917987
12000,100,ml,0.148301446663
12000,100,simple,0.180577476459
12000,125,dc,0.194733232385
12000,125,ml,0.16735494527
12000,125,simple,0.229249707103
12000,150,dc,0.279217342111
12000,150,ml,0.231437422814
12000,150,simple,0.325266792432
12000,175,dc,0.318517261478
12000,175,ml,0.272258086994
12000,175,simple,0.407468662028
12000,200,dc,0.437875107764
12000,200,ml,0.376538824946
12000,200,simple,0.577519169398
12000,225,dc,0.406435023212
12000,225,ml,0.392114852828
12000,225,simple,0.463384690728
12000,250,dc,0.696705161169
12000,250,ml,0.600700941945
12000,250,simple,0.838550779512
12000,275,dc,0.620448413527
12000,275,ml,0.576806813558
12000,275,simple,0.757062383371
12000,300,dc,0.847970732432
12000,300,ml,0.751936446326
12000,300,simple,1.06562259125
14000,50,dc,0.0692868790249
14000,50,ml,0.0518381281635
14000,50,simple,0.0839251479215
14000,75,dc,0.119347903003
14000,75,ml,0.0898776160533
14000,75,simple,0.139243741194
14000,100,dc,0.171238390738
14000,100,ml,0.135224692948
14000,100,simple,0.19565161264
14000,125,dc,0.212801053736
14000,125,ml,0.209311365569
14000,125,simple,0.238135294683
14000,150,dc,0.298936760146
14000,150,ml,0.241078241319
14000,150,simple,0.347775074812
14000,175,dc,0.365857051744
14000,175,ml,0.344426180418
14000,175,simple,0.408668863075
14000,200,dc,0.472109556898
14000,200,ml,0.38216067091
14000,200,simple,0.574388529582
14000,225,dc,0.538216491517
14000,225,ml,0.505058341281
14000,225,simple,0.641068161331
14000,250,dc,0.603532215185
14000,250,ml,0.480939078594
14000,250,simple,0.734836231823
14000,275,dc,0.55081219059
14000,275,ml,0.49544680103
14000,275,simple,0.696610178678
14000,300,dc,0.652158215364
14000,300,ml,0.512495301153
14000,300,simple,0.767117188706
16000,50,dc,0.0761969817936
16000,50,ml,0.0385847687909
16000,50,simple,0.0889344245266
16000,75,dc,0.110532978512
16000,75,ml,0.0791438253855
16000,75,simple,0.128120311736
16000,100,dc,0.174468321837
16000,100,ml,0.134123827448
16000,100,simple,0.203470236494
16000,125,dc,0.269777843637
16000,125,ml,0.176248461538
16000,125,simple,0.357223958161
16000,150,dc,0.297449765982
16000,150,ml,0.188845566674
16000,150,simple,0.397306721068
16000,175,dc,0.400364419279
16000,175,ml,0.252095863633
16000,175,simple,0.494791977307
